Question Number,Question,Option A,Option B,Option C,Option D,Option E,correct_indices
29,"Complete and balance: ²⁵²₉₈Cf + ¹⁰₅B → 3 ¹₀n + ?","²⁵⁹₁₀₃Lr","²⁵⁹₁₀₃Lr","²³⁹₉₃Np","²⁴¹₉₃Np","none of the above",-1
30,"If a gas diffuses at a rate one-half as fast as O₂ gas, find the molecular mass of the gas.","158","148","138","128","118",3
31,"What pressure is exerted by 200g of Xe gas in a 1.0 dm³ vessel at 25°C, behaving as an ideal gas? [Xe=131.29 g/mol]","37.24 atm","30.54 atm","25.65 atm","28.51 atm","10.21 atm",0
32,"What pressure (in bar) would be exerted by 35g of Ar gas in a 1.5 dm³ vessel at 35°C, behaving as an ideal gas? [Ar=39.948 g/mol]","18.70","13.95","20.75","10.51","15.00",-1
33,"'Hydrogen economy' refers to:","the different methods of producing H₂","the industrial production of H₂","the chemical reactions of H₂","the cheap and easy method of producing, storing, and using H₂ as an energy carrier","all of the above",3
34,"Which is the correct mathematical relation for Charles's law at constant pressure?","V ∝ T","V ∝ 1/T","V = kT","V ∝ P","none of the above",0
35,"50 mL of gas A effuses in 146 seconds. The same volume of CO₂ effuses in 115 seconds. Calculate the molecular mass of A.","59","61","108","71","84",3
36,"A compound with boron and hydrogen (6.444g B, 1.803g H) has a molar mass of about 30g. What is its molecular formula?","BH₃","B₂H₆","B₃H₆","B₂H₁₀","B₃H₅",1
37,"How many atoms are bonded to the central atom in a molecule with an octahedral geometry?","4","5","6","7","8",2
38,"The idea that an atom is indivisible was proposed by:","Einstein","Lavoisier","Dalton","Proust","none of the above",2
39,"The atomic mass of calcium is 40. Calculate the number of moles in 16g of calcium.","0.40 mole","4.00 moles","0.25 moles","6.40 moles","1.20 moles",0
40,"Principal, azimuthal, and magnetic quantum numbers are respectively related to:","size, shape, and orientation","shape, size, and orientation","size, orientation, and shape","orientation, size, and shape","none of the above",0
41,"For the azimuthal quantum number l=3, the maximum number of electrons will be:","2","6","0","14","18",3
42,"A compound with 69.5% oxygen and 30.5% nitrogen has a molecular mass of 92 g/mol. What is its molecular formula?","N₂O","NO₂","N₂O₅","N₂O₄","N₃O₄",3
43,"'In a given atom, no two electrons can have the same values for all four quantum numbers.' This is a statement of:","Hund's rule","Aufbau's principle","Uncertainty principle","Pauli's exclusion principle","all of the above",3
44,"If the possible values of l are 0, 1, 2, and 3, what is the corresponding value of n?","2","3","4","5","6",2
45,"'The number of unpaired electrons in a given energy level must be maximum.' This statement is accredited to whom?","Dalton","Aufbau","Hund","Bohr","Pauli",2
46,"The correct ground state electronic configuration for a chromium atom [At. No. = 24] is:","[Ar]3d⁵4s¹","[Ar]3d⁴4s²","[Ar]3d⁶4s⁰","[Ar]3d⁵4s⁰","[Ar]3d⁵4s²",0
47,"According to Aufbau's principle, the energies of 3p, 3d, 4s, and 4p orbitals are in the order:","3p<3d<4s<4p","3p<4s<3d<4p","3d<3p<4s<4p","3d<3p<4p<4s","3p<4p<3d<4s",1
48,"What mass of F is in 24.5g of tin(II) fluoride (SnF₂)? [F=19.0, Sn=118.7]","9.57g","9.75g","5.97 g","5.79 g","7.59 g",-1
49,"Vanillin is 63.2% C, 5.26% H, and 31.6% O by mass. What is its empirical formula? [H=1.0, C=12.0, O=16.0]","C₈H₇O₃","C₃H₃O","C₈H₈O₃","C₄H₅O₂","C₄H₃O₇",2
50,"Find the wavelength of a line in the Balmer series for an electron drop from the fourth orbit (n=4 to n=2). [Rydberg constant=109,678 cm⁻¹]","486 nm","565 nm","656 nm","670 nm","760 nm",0
51,"Predict the geometry and hybridization of the central atom in SCl₆.","octahedral, sp³d","square planar, sp³d²","octahedral, sp³d²","square planar, sp³d","trigonal bipyramid, sp³d",2
52,"Calculate the average atomic mass for chlorine if the isotopes are Cl-35 (75.77%, 34.97 amu) and Cl-37 (24.23%, 36.97 amu).","34.55","33.55","35.35","35.45","35.01",3
53,"Give the number of protons, neutrons, and electrons in ²⁰⁰₈₀Hg.","80, 80, 119","119, 80, 80","80, 120, 80","120, 80, 80","120, 120, 80",2
54,"Predict the electronic configuration for Ti³⁺. [Ti, Z=22]","[Ar]3d¹","[Ar]3d³","[Ar]3d²","[Kr]4d¹⁰5s²","[Kr]4d⁹",0
55,"A trigonal bipyramid molecule has how many hybrid orbitals?","6","5","4","3","2",1
56,"Express 0.975 bar in atmospheres. (1 bar = 0.987 atm)","0.872","0.862","0.972","0.962","0.772",3
57,"A sample of 225mg of neon occupies 3.00 dm³ at 122K. What is the pressure exerted? [Ne=20.18g/mol, R=8.3145x10⁻² dm³·bar·K⁻¹·mol⁻¹]","0.0376 bar","0.0427 atm","0.0247 bar","0.0247 atm","0.07 bar",-1
58,"State the period and group for an element with the electronic configuration 1s²2s²2p⁶3s²3p⁶.","period 2, group VIIIA","period 2, group VIIA","period 3, group VIIIA","period 3, group VIIA","period 3, group VIA",2
59,"Express 108 kPa in torr. (1 atm = 101.325 kPa = 760 torr)","710","810","910","610","510",1
60,"Which scientist determined the charge of an electron?","R. Millikan","J. Dalton","J.J. Thompson","W. Rontgen","E. Rutherford",0
61,"Predict the geometry and bond angle of a molecule with sp³d² hybridized orbitals on the central atom.","trigonal planar, 120°","tetrahedral, 109.5°","square planar, 90°","octahedral, 90°","octahedral, 120°",3
62,"What is the total number of electrons allowed in an 'L' shell (n=2)?","36","18","8","6","2",2
63,"Calculate the volume occupied by 7g of nitrogen gas at 27°C and 750 mmHg pressure. [N=14 g/mol]","6.24 L","12.48 L","11.48 L","7.24 L","10.24 L",0
64,"The following are examples of interstitial hydrides except:","TiH₁.₈","FeH₂","YbH₂","CsH","NiH₂",3
65,"The arrangement of elements in the periodic table is in order of increasing:","mass number","neutron numbers","proton numbers","molar mass","electron and neutron numbers",2
66,"The half-life of ⁴⁵Ca is 165 days. After 1.0 year (365 days), what percentage of the original sample remains?","10.9%","99.6%","2.16%","21.6%","96.9%",-1
67,"All the following are representative elements except:","Ca","Ga","Sr","Zr","Cl",3
68,"Calculate the volume occupied by 5g of acetylene (C₂H₂) gas at 50°C and 740 mmHg pressure. [C=12, H=1.0]","3.2377 L","4.2377 L","5.2377 L","6.2377L","7.2377 L",2
69,"How many empty p orbitals are there in a neutral carbon atom?","1","2","3","4","5",-1
70,"8g of methane gas and 2g of hydrogen gas are mixed at 760 mmHg and 273K. What is the total volume?","11.2 L","22.4 L","33.6 L","44.8 L","55.0 L",2
71,"Which equation represents alpha emission from ¹⁹⁶₈₄Po?","¹⁹⁶₈₄Po → ¹⁹²₈₂Pb + ⁴₂He","¹⁹⁶₈₄Po + ⁴₂He → ¹⁹²₈₂Pb","¹⁹⁶₈₄Po → ²⁰⁰₈₆Rn + ⁴₂He","¹⁹⁶₈₄Po + ⁴₂He → ²⁰⁰₈₆Rn","none of the above",0
72,"Which atomic orbital has values of n=4, l=2?","4s","4p","4d","4f","4g",2
73,"What is the missing particle in the bombardment reaction? ²⁷Al + ? → ³⁰P + ¹n","neutron","proton","beta","alpha","gamma",3
74,"Which of the following is not an example of an ionic hydride?","LiH","CaH₂","SrH₂","ZrH₂","NaH",3
75,"Of the following processes, which one does not change the atomic number?","gamma emission","alpha emission","positron emission","beta emission","none of the above",0
76,"Which of the following pairs represents isobars?","¹⁷₈O and ¹⁸₈O","⁴⁰₁₉K and ⁴⁰₂₀Ca","¹⁵₇N and ¹⁶₈O","²³⁵₉₂U and ²³⁸₉₂U","none of the above",1
77,"Which of the following elements has the lowest first ionization energy: P, Na, Si, Mg, Al?","P","Mg","Al","Na","Si",3
78,"Complete and balance the nuclear equation: ²⁴₁₂Mg + ²₁H → ⁴₂He + ?","²²₁₃Al","²²₁₁Na","²⁶₁₃Al","²⁰₁₀Ne","none of the above",1
79,"'The total pressure of a mixture of non-reacting gases is equal to the sum of the partial pressures of all the gases present' is a statement of:","Graham's law of diffusion","Dalton's law of partial pressure","Avogadro's law","Ideal gas law","none of the above",1
80,"An atom of ______ contains no neutrons.","hydrogen (protium)","deuterium","tritium","helium","sodium",0
81,"A single bond consists of:","one σ-bond","one π-bond","one σ-bond and one π-bond","one σ-bond and two π-bonds","one π-bond and two σ-bonds",0
82,"How many moles are present in 52g of Cr? [Cr=52g/mol]","10.00 mol","1.00 mol","1.5 mol","10.52 mol","None of the above",1
83,"What is the total number of orbitals associated with the principal quantum number n=3?","6","12","18","9","None of the above",3
84,"How many oxygen atoms are present in 0.025 mol of aspirin (C₉H₈O₄)? [Nₐ = 6.02x10²³]","3.0x10²²","6.0x10²⁴","5.63x10²²","6.0x10²²","None of the above",3
85,"How many atoms are in 32.6g of sulphur? (S=32.07)","1.52x10²⁴","1.12x10²⁴","8.42x10²³","6.12x10²³","3.06x10²³",3
86,"Which of the following is paramagnetic?","Zn","Ni","Cu⁺","none of the above","Ni²⁺",-1
87,"Calculate the density of butane (C₄H₁₀) at a pressure of 117.4 kPa and a temperature of 125°C. (R=8.314 Pa·m³/mol/K)","2.60 g/L","2.65 g/m³","2.06 g/L","none of the above","2.06 g/m³",2
88,"All of these are neutral oxides except:","CO","N₂O","MgO","H₂O","None of the above",2
89,"The magnetic quantum number mₗ gives the number of orbitals as:","2l","2l-1","2l+1","n-1","None of the above",2
90,"What is the total number of electrons that can be held in all orbitals having the same principal quantum number n?","2n","2n+1","2n²","2n²+1","2n²-1",2
91,"Predict the molecular geometry of the species PCl₆⁻.","Linear","Tetrahedral","Octahedral","Trigonal Planar","None of the above",2
92,"Using the ideal gas law, calculate the pressure exerted by 5g of methane in a 0.1L container at 25°C.","76.4 atm","4.80 atm","13.8 atm","none of the above","7.64 atm",-1
93,"A species with 24 protons, 26 neutrons, and 22 electrons is represented by:","⁵⁰₂₄V³⁺","⁵⁰₂₄Cr²⁺","⁵⁰₂₂Mn²⁺","⁵⁰₂₄Cr²⁺","none of the above",-1
94,"Convert a pressure of 0.657 atm to mmHg.","250 mmHg","500 mmHg","750 mmHg","120 mmHg","None of the above",1
95,"How many valence electrons are in the ICl₄⁻ molecule?","36","21","18","none of the above","35",-1
96,"Which of the following is FALSE?","the angular momentum quantum number tells us the shape","The magnetic quantum number describes the orientation of the orbital","the value for the electron spin quantum number is ±1/2","none of the above","All are true",4
97,"If it takes 1.25 minutes for 0.010mol of He to effuse, how long for the same amount of ethane (C₂H₆)?","1.72 min","2.74 min","3.43 min","3.88 min","None of the above",-1
98,"Oxalic acid (EF = CHO₂) has a molar mass of 90.0 g/mol. What is its molecular formula?","C₂H₂O₄","C₂H₂O₂","CHO₂","C₄H₄O₂","C₂H₂O",0
99,"State the number of unpaired electrons in the electronic configuration of Chromium.","2","4","3","6","None of the above",3
100,"How many electrons can be placed into the M shell (n=3) of an atom?","14","16","18","20","22",2
101,"Predict the geometry of SnCl₂.","tetrahedral","trigonal planar","bent or angular","trigonal bi-pyramidal","circular",2
102,"Calculate the energy required to remove the electron from a hydrogen atom in its ground state (E₁ = -2.18x10⁻¹⁸ J).","-4.36x10⁻¹⁸ J","-3.27x10⁻¹⁸ J","-2.18x10⁻¹⁸ J","2.18x10⁻¹⁸ J","4.36x10⁻¹⁸ J",3
103,"The number of orbitals in a d-subshell (l=2) is:","5","3","1","7","10",0
104,"Which of the following elements is a metalloid?","Li","Be","B","C","None of the above",2
105,"Given the electronic configuration of Z²⁺ as 1s²2s²2p⁶3s²3p⁶4s⁰3d¹, what is the atomic number of Z?","24","23","18","20","None of the above",-1
106,"Which of the following particles will not be deflected by charged plates?","γ-particles","β-particles","α-particles","protons","None of the above",0
107,"Starting with a 4.00mg sample, how much ¹⁹⁸Au remains after 7 days? (t½=2.7 days)","0.66 mg","1.00mg","1.28mg","0.35mg","None of the above",-1
108,"What is the number of orbitals in a 5g subshell?","1","3","5","7","9",4
109,"What is the half-life of a nucleus that takes 15 min to decay to 90% of its original activity?","180 min","99 min","210 min","5 min","None of the above",1
110,"Lindane (molar mass 290.85 g/mol) is 24.78% C, 2.08% H, and 73.14% Cl. What is its molecular formula?","C₆H₆Cl","C₆H₄Cl₆","C₂H₂Cl₂","C₄H₆Cl₄","C₆H₆Cl₆",4
111,"Nuclides with different mass and atomic numbers but the same number of neutrons are called?","isotopes","isobars","isotones","allotropes","None of the above",2
112,"Balance the nuclear reaction: ²³⁴₉₀Th → ⁰₋₁β + X.","²³³₉₁X","²³⁰₉₁X","²³⁴₈₈X","²³⁴₉₁X","None of the above",3
113,"A substance on decomposition gives 0.6 mole of Fe and 0.90 mole of S. What is its empirical formula?","Fe₂S₃","FeS","FeS₂","FeS₃","None of the above",-1
114,"How many electrons are in the p-orbitals in Ru? [Z=44]","6","18","12","10","None of the above",-1
115,"A nucleus of mass number 81 contains 46 neutrons. An ion of this element has 36 electrons. Write the symbol for this ion.","⁸¹₃₆Br","⁸¹₃₅Br⁻","⁸¹₃₆Br⁺","⁸¹₃₅Br⁺","None of the above",3
116,"Helium gas at 22°C and 1.00 atm occupies 2.54L. What is its volume if cooled to -197°C?","0.33L","0.56L","0.65L","1.30L","None of the above",-1
117,"Calculate the wavelength (nm) of a spectral line of hydrogen for n₂=6 and n₁=3. (R=109,678 cm⁻¹)","1737 nm","1358 nm","1094 nm","978 nm","656 nm",2
118,"Which of the following contains the largest number of molecules?","0.2 mol of H₂","8g of H₂","17g of H₂O","6g of CO₂","None of the above",1
119,"Caffeine (MW=194.2) is 49.48% C, 5.19% H, 28.85% N, and 16.48% O. What is its molecular formula?","C₁₄H₁₈N₂O₂","C₇H₉N₂O₅","C₈H₁₀N₄O₂","C₉H₁₁N₄O₂","C₁₆H₂₀N₄O₅",2
120,"The species ⁵²₂₄Cr³⁺ contains:","24p, 24n, 24e","24p, 28n, 24e","24p, 28n, 21e","52p, 52n, 21e","21p, 31n, 21e",2
121,"Which of the following is paramagnetic?","Zn","Ni²⁺","Cu⁺","Cu","none of the above",1
122,"⁵⁹₂₇Co has how many unpaired electrons?","1","2","3","4","None of the above",2
123,"The volume of a gas at STP is 488mL. Calculate its volume at 22.5 atm and 150°C.","33.6mL","63.3mL","67.2 mL","50.4 mL","None of the above",0
124,"What are the allowed angular momentum (l) values for n=4?","0,1,2,3,4","0,1,2,3","0,1,2,4","0,1,3,4","None of the above",1
125,"What is the maximum number of electrons for an n=3 shell?","10","6","18","8","2",2
126,"Caffeine contains 28.9% nitrogen by mass. If its molecular weight is 194, how many nitrogen atoms are in one molecule?","3","4","5","6","None of the above",1
127,"What did Bohr assume about the motion of electrons?","They travel in straight paths","They travel in circular paths around the nucleus","Electrons and neutrons are in the nucleus","Protons and neutrons are in the nucleus","none of the above",1
128,"Which of the following contains more electrons than neutrons?","²⁵₁₂X²⁺","³³₁₆X²⁻","⁷⁵₃₃X³⁻","²⁶₁₃X","none of these",1
129,"How many atoms are bonded to the central atom in a trigonal bipyramidal molecule?","4","5","6","7","None of the above",1
130,"The arrangement of elements in the periodic table is in order of their increasing:","atomic weight","isotopic weight","atomic number","molecular weight","None of the above",2
131,"The reaction ²H + ³H → ⁴He + ¹n is an example of:","nuclear fission","nuclear fusion","alpha emission","combination reaction","None of the above",1
132,"What is the bond angle in a tetrahedral molecule?","180°","120°","109.5°","107.3°","None of the above",2
133,"A gas weighing 7.10g at 741 torr and 44°C occupies 5.40L. What is its molar mass?","17.6 g/mol","29.3 g/mol","35.1 g/mol","52.7 g/mol","None of the above",2
134,"Calculate the energy (J) of an electron in the n=2 level of a hydrogen atom (R_H = 2.18x10⁻¹⁸ J).","-5.45x10⁻¹⁹ J","-1.09x10⁻¹⁰ J","-1.09x10⁻¹⁸ J","-5.45x10⁻¹⁸ J","None of the above",0
135,"What is the frequency of a photon emitted when an electron falls from n=4 to n=3 in a hydrogen atom?","-1.59x10¹⁴ /s","2.598x10¹⁵ /s","1.598x10¹⁴ /s","1.34x10⁻²¹ /s","2.582x10¹⁴ /s",-1
136,"How many unpaired electrons are there in the Mn atom? (Z=25)","5","1","2","3","None of the above",0
137,"How many orbitals are there in the shell with n=5?","18","21","25","22","None of the above",2
138,"Calculate the binding energy of ⁶⁰₂₈Ni in MeV per nucleon if its exact mass is 59.9332 amu. [p=1.00728, n=1.00867 amu]","8.78 MeV","7.80 MeV","6.98 MeV","5.25 MeV","524.81 MeV",-1
139,"The transition metals are elements in which the differentiating electrons go into the:","s-orbital","p-orbital","d-orbital","f-orbital","None of the above",2
140,"An oxide of manganese is 36.8% O and 63.2% Mn. What is its empirical formula? [O=16.0, Mn=55.0]","MnO","MnO₂","MnO₃","Mn₂O₃","Mn₂O₇",1
141,"A species with 24 protons, 26 neutrons, and 23 electrons would be represented by:","⁵⁰₂₄V³⁺","⁵⁰₂₄Cr⁺","⁵⁰₂₂Mn²⁺","⁵⁰₂₄V⁺","None of the above",-1
142,"A 200.0mL flask contains 1.03mg O₂ and 0.56mg He at 15°C. What is the total pressure?","0.0038atm","0.017atm","0.020atm","0.040atm","None of the above",2
143,"An element with atomic number 12 is likely to have the same chemical properties as elements in:","Group IIB","Group IIA","Group IIIA","Group IVA","None of the above",1
144,"Calculate the ratio of the diffusion rate of hydrogen to that of oxygen.","4:1","2:1","3:1","6:1","3:2",0
145,"What hybrid orbitals would be expected for the central atom in BrF₅?","sp","sp²","sp³","sp³d","sp³d²",4
146,"How many unpaired electrons would there be in the ion Gd³⁺? [Z=64]","3","5","7","9","11",2
147,"Calculate the density (g/L) of ammonia gas (NH₃) at 31°C and 751 mmHg. [R=0.0821 Latm/K/mol]","0.338 g/L","0.57 g/L","0.675 g/L","0.765g/L","None of the above",2
148,"Which of these is an acidic oxide?","SO₂","CaO","MgO","Na₂O","None of the above",0
149,"Electron affinity is the:","energy released when an electron is added to an isolated gaseous atom","energy absorbed when an electron is added to an isolated gaseous atom","energy to take out an electron from an isolated gaseous atom","power of an atom to attract an electron to itself","None of the above",0
150,"How many molecules are present in one gram of hydrogen gas?","6.02x10²³","3.01x10²³","5x10²³","1.5x10²³","None of the above",1
151,"A compound is 2.0g C, 0.34g H, and 2.67g O. If its RMM is 60, what is its molecular formula?","CH₂O","C₂H₄O₂","C₂O₂H₄","CHO₂","None of the above",-1
152,"Group II elements of the periodic table are also referred to as?","halogens","alkali metals","metalloids","alkaline earth metals","None of the above",3
153,"The ground state electronic configuration of ₈₀Hg is:","[Ar]6s²4f¹⁴5d¹⁰","[Kr]6s²4f¹⁴5d¹⁰","[Xe]6s²4f¹⁴5d¹⁰","[Xe]6s²4f¹⁴6p⁶5d¹⁰","[Rn]6s²4f¹⁴5d¹⁰",2
154,"Magnesium has isotopes: ⁷⁸.⁹⁹% ²⁴Mg (23.99 amu), ¹⁰.⁰⁰% ²⁵Mg (24.99 amu), ¹¹.⁰¹% ²⁶Mg (25.98 amu). What is its atomic mass?","26.31 g/mol","24.62 g/mol","24.31 g/mol","26.62 g/mol","23.41 g/mol",2
155,"A compound with empirical formula C₂H₃Cl has a molecular mass of about 190. Its molecular formula is:","C₂H₃Cl","C₆H₉Cl₃","C₆H₁₂Cl₃","C₄H₆Cl₂","None of the above",1
156,"What are the quantum numbers of the electron lost when a copper atom forms the Cu⁺ ion? (Z=29)","n=3, l=2, mₗ=2, mₛ=+1/2","n=3, l=2, mₗ=0, mₛ=-1/2","n=4, l=0, mₗ=0, mₛ=+1/2","n=4, l=2, mₗ=0, mₛ=+1/2","n=4, l=2, mₗ=1, mₛ=-1/2",2
157,"A gas diffuses at 16.0 mL/s, while another gas (MW=28.0) diffuses at 24.2 mL/s. What is the MW of the first gas?","46.50 g/mol","64.05 g/mol","45.60 g/mol","66.00 g/mol","65.05 g/mol",-1
158,"The density of water is 1.0 g/mL at 4°C. How many molecules are present in 2.5 mL?","8.36x10²²","3.28x10²²","2.38x10²²","6.02x10²³","None of the above",0
159,"Which of the following contains more electrons than neutrons?","²⁵₁₂X²⁺","³³₁₆X²⁻","⁷⁵₃₃X³⁻","²⁶₁₃X","none of these",1
160,"Calculate the percentage of oxygen in CaSO₄. [Ca=40.08, S=32.06, O=16]","47.03%","11.75%","29.44%","17.01%","None of the above",-1
161,"Which of the following does not have sp² hybridization?","C₆H₆","C₂H₄","BeCl₂","C₂H₂","BF₃",3
162,"Which of the following contains the largest number of molecules?","0.2 mol H₂","8.0g H₂","17g of H₂O","6g of CO₂","None of the above",1
163,"The H-O-H bond angle in the H₂O molecule is 104.5° instead of 90° because:","H₂O is sp² hybridized","the OH bonds and H atoms occupy the same sphere","there is overcrowding between the OH and the H bonds","H₂O is sp³ hybridized and has two lone pairs","The OH bonds spread apart to avoid overcrowding",3
164,"Which of the following is correct for the H-N-H bond angle in the NH₃ molecule?","109.5°","104.5°","90°","180°","107.3°",4
165,"An electron with quantum numbers n=4, l=2, m=0, s=-1/2 would be a:","3d electron","4d electron","3p electron","4p electron","4s electron",1
166,"If 10.0g of Na and 20.0g of Cl₂ react to form 25.4g of NaCl, what mass of chlorine does not react?","4.57g","2.3g","1.15g","None of the above","4.6g",-1
167,"A compound is 85.7% C and 14.3% H with a molar mass of 98 g/mol. What is its molecular formula?","C₂H₄","C₆H₁₂","C₇H₁₄","C₇H₈","None of the above",-1
168,"The volume occupied by 0.5 mole of CO₂ at 150 kPa and 19°C is?","8.09 dm³","8.89 dm³","9.09 dm³","8.13 dm³","None of the above",-1
169,"Determine the empirical formula of a compound with 29.09% Na, 40.55% S, and 30.36% O.","NaS₂O₃","NaSO₄","Na₂S₂O₃","none of the above","Na₂SO₃",-1
170,"Elements in the periodic table are arranged based on?","Boiling point","atomic number","atomic mass","chemical symbols","none of the above",1
171,"When there is a gamma decay process, the mass number of a radionuclide is:","Reduced by two","increased by one","not changed","increased by two","reduced by one",2
172,"Which of the central atoms in the following molecules is not sp² hybridized?","C₆H₆","C₂H₄","BeCl₂","C₂H₂","BF₃",3
173,"A sample of an ideal gas occupies 2L at 27°C. If the temperature is increased to 327°C at constant pressure, the new volume is:","3L","6L","4L","8L","4.5L",2
174,"Which of the following sets of quantum numbers is unacceptable?","[1,0,0,+1/2]","[3,0,0,+1/2]","[3,2,1,-1/2]","[4,3,-2,+1/2]","[1,1,0,+1/2]",-1
175,"The volume occupied by 4.4g of CO₂ at STP is:","22.4 L","2.24 L","0.224 L","0.1 L","None of the above",1
176,"The stability and inertness of N₂ can be attributed to its:","two lone pair of electrons","completely filled p-orbital","triple bond","Three unpaired electrons","None of the above",-1
177,"A charcoal bone has a ¹⁴C/¹²C ratio 0.617 times that of a living organism. How old is it? (t½ for ¹⁴C is 5730 years)","4730 years","4033 years","4030 years","4300 years","None of the above",-1
178,"Which is NOT a possible value for the quantum numbers for an electron in a 3p-orbital?","(3,1,1,-1/2)","(3,1,0,-1/2)","(3,1,-1,-1/2)","(3,1,1,-1/2)","None of the above",-1
179,"The number of molecules in 4.25g of ammonia is approximately:","1.0x10²³","1.5x10²³","2.0x10²³","3.5x10²³","None of the above",1
180,"Which of the following metals reacts slowly with steam?","strontium","barium","magnesium","beryllium","None of the above",2
181,"A gaseous compound of C and H diffuses 0.1826 times as fast as H₂. What is its correct formula?","C₂H₂","C₂H₄","C₂H₆","C₄H₁₀","none of above",-1
182,"What is the pH of a 0.001M solution of HCl?","3","5","7","10","None of the above",0
183,"A buffer is made from equal concentrations of a weak acid and its conjugate base. Doubling the volume by adding water has what effect on its pH?","It has little effect","it significantly neutralizes the pH","It significantly decreases the pH","It changes the pH asymptotically to the pKa","It changes the pH asymptotically to the pKb",0
184,"Which of the given compounds is not a Lewis acid?","AlCl₃","C₅H₅N","ZnCl₂","FeCl₃","none of the above",1
185,"Calculate the hydronium ion concentration of a 0.2 mol/L CH₃COOH solution. (Ka=1.8x10⁻⁵)","1.89x10⁻³ M","1.8x10⁻⁵ M","1.4x10⁻⁵ M","1.8x10⁻⁶ M","None of the above",0
186,"Calculate the molality of a solution that contains 51.2 g of naphthalene (C₁₀H₈) in 500 mL of CCl₄. (Density of CCl₄ is 1.60 g/mL)","0.250 m","0.500 m","0.750 m","0.840 m","1.69 m",1
187,"For which reaction is Kc numerically equal to Kp?","N₂+3H₂→2NH₃","2SO₂+O₂→2SO₃","H₂+Cl₂→2HCl","N₂O₄→2NO₂","None of the above",2
188,"The Ksp for PbI₂ is 8.7x10⁻⁹. What is its molar solubility?","1.3x10⁻³ M","8.7x10⁻⁵ M","9.3x10⁻⁵ M","1.0x10⁻⁴ M","None of the above",0
189,"For the equilibrium 2NO₂(g) ⇌ N₂O₄(g) + Energy, the equilibrium will shift to the left as a result of:","adding a catalyst","increasing the volume","removing some N₂O₄","decreasing the temperature","None of the above",1
190,"What is the molality of a solution labeled ""8.6% glucose (C₆H₁₂O₆) by weight?""","0.26 m","0.34 m","0.44 m","0.52 m","0.67 m",3
191,"2.82g of glucose (mol mass=180) are dissolved in 30g of water. Calculate the mole fraction of glucose.","0.0093","0.0930","0.9070","0.9907","1.243",-1
192,"In which case is the solution of BaSO₄ supersaturated?","[Ba²⁺][SO₄²⁻] < Ksp","[Ba²⁺][SO₄²⁻] = Ksp","[Ba²⁺][SO₄²⁻] > Ksp","[Ba²⁺] + [SO₄²⁻] = Ksp","[Ba²⁺] + [SO₄²⁻] < Ksp",2
193,"A stock solution of K₂Cr₂O₇ is made by dissolving 89.3g in 1.0L. How many mL are required to prepare 1.00L of 0.100M K₂Cr₂O₇?","110ml","165ml","274ml","329ml","494ml",-1
194,"A 1.00L flask contains 0.0200 mol PCl₅, 0.0500 mol PCl₃, and 0.0500 mol Cl₂ at equilibrium. The value of Keq is:","0.125","2.50","5.00","8.00","None of the above",0
195,"What is the equilibrium partial pressure of PCl₅ in a 3.00L vessel charged with 0.123 atm of PCl₅? Kp=0.0121 for PCl₅⇌PCl₃+Cl₂.","0.123 atm","0.011 atm","0.0380 atm","0.0900 atm","None of the above",3
196,"How many grams of AgNO₃ are required to prepare 10g of a 2% solution?","10","20","0.2","0.1","None of the above",2
197,"What is the molarity of a solution containing 9.8g of H₂SO₄ in a 200 mL solution?","0.50","0.75","1.00","0.25","0.1019",0
198,"Calculate the pH of a 0.5 mol/L NaOH solution if it is diluted 10-fold.","12.0","12.7","13.4","11.6","None of the above",1
199,"Which equation depicts a disproportionation reaction?","MnO₂+HCl→MnCl₂+Cl₂+H₂O","FeCl₂+Cl₂→FeCl₃","S+KOH→K₂SO₃+K₂S+H₂O","Au₂O₃→Au+O₂","None of the above",2
200,"How many moles of calcium chloride (CaCl₂) can be obtained from 25g of limestone (CaCO₃) reacting with excess HCl?","0.20 mole","0.30 mole","0.25 mole","0.35 mole","None of the above",2
201,"Calculate the freezing point of a solution that contains 2g of methyl alcohol (CH₃OH) in 50g of water. (Kf=1.86)","1.25°C","-2.32°C","2.32°C","-1.25°C","None of the above",1
202,"What is the oxidation number of Cr in the compound HgCr₂O₇?","+1","+2","+4","+5","+6",4
203,"Calculate the molarity of a solution prepared by dissolving 15g of solid NaOH in enough water to make 2.5 L of solution.","0.15 M","0.375 M","0.075 M","0.188 M","None of the above",0
204,"What is the molality of a solution prepared by dissolving 15g of I₂ in 150g of CCl₄?","0.64 m","0.53 m","0.78 m","0.394 m","None of the above",3
205,"Which of the following is classified as a conjugate acid-base pair?","HCl/NaOH","H₂O/H₃O⁺","O₂/H₂O","H⁺/Cl⁻","NaCl/NaOH",-1
206,"Which of the following is the strongest acid?","HClO₂","HClO","HClO₃","HClO₄","chlorous acid",3
207,"Which of the following is a Lewis acid?","NH₃","BCl₃","H₂O","OH⁻","None of the above",1
208,"A solution contains 6.00% by mass NaBr. The density is 1.046 g/cm³. What is the molarity? [Na=23.0, Br=80.0]","0.310 M","0.513 M","0.610 M","0.765 M","0.920 M",-1
209,"Colligative properties depend on:","nature of the solvent","number of solute particles","percent of ionization","nature of solute","temperature",1
210,"What volume of a 0.100 M solution of NaHCO₃ contains 0.350g of NaHCO₃? [Na=23, C=12, O=16, H=1]","17.4 mL","20.9 mL","38.3 mL","41.7 mL","59.1 mL",3
