Question Number,Question,Option A,Option B,Option C,Option D,Option E,correct_indices
33,"Find the equation of the straight line joining the points (-1,-4) and (4,-3).","y-5x=-19","y-x=28","5y-x=-19","8y-7x=25","6y-x=8",2
34,"Find the equation of a line through (-2,-3) and perpendicular to the line 4x+3y-5=0.","4y-3x+6=0","y-3x+6=0","6y-7x+13=0","5y+7x=1","y+x=1",0
35,"Which of the following does not represent a circle?","x²+y²+8x+7y-9=0","x²+y²-8x+2y+7=0","8x²-8y²-x+y-10=0","2x²+2y²-8=0","none of the above",2
36,"Find the equation of the line passing through the points (2, 5) and (-4, 7).","y=8x-9","y=2x+1","y=-1/3x+17/3","y=9x-8","y=x+1",2
37,"A curve passes through (-3,5) and its gradient is 6x²+10x-7. Find the equation.","2x³+5x²-7x-47","x³+5x²-9x","2x³+5x²-7x-7","x³-2x-7x","3x³-7x²-7x-67",-1
38,"A line L passes through (6, -13) and is parallel to the line through (7,4) and (-3,9). Find the equation of L.","2y=-x-20","y=x-10","y=5x-15","y=12x-4","2y=-x-20",-1
39,"Find the gradient of the curve y=2x²+5x-1 at x=4.","34","45","78","21","65",3
40,"If the distance between (-3,9) and (x,3) is 2 times the distance between (x,-1) and (2,3), find x.","8","6","5","7","4",-1
41,"A particle of mass 5kg, initially at rest, is acted upon by a force (7t+t²)N. Find the velocity.","(7t²/2 + t³/3) m/s","(7t²/10 + t³/15) m/s","(7t²/5 + t³/5) m/s","(7/5 + t/5) m/s","None of the above",1
42,"A particle of mass 5kg, initially at rest, is acted upon by a force (7t+t²)N. Find the distance covered after 3 seconds.","7.65m","40.5m","10.35m","13.5m","None of the above",-1
43,"A particle's parametric equations are x=e⁻ᵗ, y=2cos(5t), z=2sin(5t). Find its position vector at t=0.","(1,-50,0)m","(10,-500,0)m","(-1,0,10)m","(1,2,0)m","None of the above",3
44,"Which is TRUE about Force (F)? (I) Rate of change of momentum (II) Change in momentum (III) Mass x acceleration (IV) Work done / displacement.","(I), (II), (III) and (IV)","(I), (II) and (III)","(I), (III) and (IV)","(I), (II) and (IV)","None of the above",2
45,"Work done by a particle is...","the product of the Force and distance covered","the rate of change of momentum","impulse","the product of mass and acceleration","None of the above",0
46,"A particle's velocity is v=(3t²+4t)m/s. Find the distance s at t=5s, with s=0 at t=0.","175m","200m","400m","800m","None of the above",0
47,"A particle's position is s=5t³+3t² m. Find its acceleration at t=3s.","14 m/s²","96 m/s²","100 m/s²","90 m/s²","None of the above",1
48,"A car's velocity is v=(3t+5t, 2t+3t³, t+5t²)m/s. Find its position at t=2s, from the origin.","(18, 16, 46/3)m","(5, 0, 5)m","(3, 1, 4)m","(18, 16, 46/2)m","None of the above",0
49,"A particle's position is x=3t², y=8t, z=2t³. Find the magnitude of acceleration at t=2s.","612 m/s²","√880 m/s²","√612 m/s²","√784 m/s²","None of the above",-1
50,"A particle of mass 30kg has position x=3t² and y=2t³+5t². Find the position vector at t=2s.","(12, 44)m","(12, 36)m","(180, 1020)m","(6, 24)m","None of the above",1
51,"A particle (m=30kg) has position x=3t², y=2t³+5t². Find the work done at t=2s if F is inclined at 60° to the horizontal.","2160 Joules","36720 Joules","38880 Joules","19440 Joules","None of the above",-1
52,"(Duplicate Question)","",,"",,"",-1
53,"A particle (m=4kg) has position x=3t⁴-2t³ and y=4t³+5t. Calculate its velocity at 4s.","(528, 96) m/s","(672, 197) m/s","(768, 192) m/s","(704, 197) m/s","None of the above",-1
54,"(Duplicate Question)","",,"",,"",-1
55,"A particle (m=4kg) has position x=3t⁴-2t³ and y=4t³+5t. Calculate the Force (Resistance) at 4s.","(528, 96)N","(672, 197)N","(768, 192)N","(2688, 384)N","None of the above",-1
56,"(Duplicate Question)","",,"",,"",-1
57,"Find work done by a 25kg particle that ran up a staircase to (x,y)=(2,3)m in 3s (y is vertical height, g=9.8m/s²).","245 Joules","403.33 Joules","1225 Joules","735 Joules","None of the above",3
58,"Calculate the Kinetic Energy of a 10kg particle with position x=5t and y=3t at t=2s.","45 Joules","170 Joules","170 Joules","6.8 Joules","None of the above",2
59,"Which equation of motion is for a body of mass M shot upward against gravity (g) with air resistance Mkv?","dv/dt = g - kv","dv/dt = -g - kv","dv/dt = g + kv","dv/dt = mg - kv","none of the above",1
60,"A 20kg particle moves with x=3t², y=8t, z=3t³. Find the velocity at t=2s.","(6,0,36) m/s","(12,8,36) m/s","(12,16,24) m/s","(120,0,720) m/s","None of the above",1
61,"Find the equation of a straight line passing through P(0,3) and Q(2,0).","2y²+3x-6=0","y+3x-6=0","2y+3x-6=0","Close to each other","None of the above",2
62,"Find the equation of a straight line with gradient 4 that passes through P(0,3).","y-4x-3=0","y-4x+3=0","y+4x-3=0","y+x-3=0","None of the above",0
63,"If two lines with gradients m₁ and m₂ are perpendicular, then:","m₁m₂ = -1","m₁m₂ = 1","m₁m₂ = -2","m₁m₂ = 2","None of the above",0
64,"If two lines with gradients m₁ and m₂ are parallel, then:","m₁ = m₂","m₁ = -m₂","m₁ = m₂²","m₁m₂ = 2","None of the above",0
65,"Find the distance between the points (1/2, 1/2) and (-1/2, -1/2).","2√2","0","√2","√2/2","None of the above",2
66,"Find the value of α²+β² if α+β=2 and the distance between (1,α) and (β,1) is 3 units.","7","9","13","11","None of the above",-1
67,"If the midpoint of the line MN is (2,3) and point M is (-2,1), find the coordinate of N.","(5,5)","(5,6)","(6,6)","(6,5)","None of the above",3
68,"Calculate the gradient of the line joining X(5,-7) and Z(-2,-3).","-4/7","4/7","-10/7","-7/4","None of the above",0
69,"State the general equation of an ellipse.","x²/a² + y²/b² = 1","x/a² + y²/b = 1","a²/x² + b²/y² = 1","x²/a² + y²/b² = 0","None of the above",0
70,"Find the focus and directrix of the parabola y² = -12x.","(-3,0) and x=3","(3,0) and x=-3","(-3,0) and x=-3","(-2,0) and x=2","None of the above",0
71,"Obtain an equation for the ellipse with vertices (0,±8) and foci (0,±5).","y²/64 + x²/39 = 1","y²/64 - x²/39 = -1","y²/8 + x²/13 = 1","y²/64 - x²/39 = 1","None of the above",0
72,"Find the equation of a hyperbola with foci (±4,0) and vertices (±2,0).","x²/4 - y²/12 = 1","x²/4 + y²/12 = 1","x²/4 - y²/12 = -1","x²/16 + y²/12 = 1","None of the above",0
73,"Find the equation of a line parallel to y=-4x+2 and passing through (2,3).","y+4x-11=0","y-4x-11=0","y+4x+11=0","y+8x-11=0","None of the above",0
74,"Find the equation of the line through (1,1) and perpendicular to 2x-3y=4.","2y+3x-5=0","2y-3x-5=0","3y+2x-5=0","3y-2x-5=0","None of the above",0
75,"Find the equation of the circle whose diameter has endpoints (-5,1) and (3,-7).","x²-y²+2x+6y-22=0","x²+y²+2x+6y-22=0","x²+y²+2x+6y-22=0"," -x²-y²-2x+6y-22=0","None of the above",-1
76,"Find the equation of the tangent to the parabola y²=12x at the point (3,6).","y=x-3","y=x+3","y=-x+3","y=-x-3","None of the above",1
77,"Find the sum of the vector AB+BC-DC-AD.","BA","DC","AD","0","None of the above",-1
78,"If the distance between (2,1) and (q,8) is 7 units, find the value of q.","2 (twice)","2 (twice)","1,2","2","None of the above",-1
79,"Find the eccentricity of the hyperbola x²/9 - y²/16 = 1.","5/3","7/3","1","9","None of the above",0
80,"Find the direction cosines [l,m,n] of r = 3i - 2j + 6k.","[3/7, 2/7, 6/7]","[3/7, -2/7, 6/7]","[-3/7, -2/7, -6/7]","[-3/7, 2/7, -6/7]","None of the above",1
81,"Given a=2i+3k, b=5i-j+k, c=i+2j, evaluate 2a·(b+3c).","32","36","38","44","None of the above",-1
82,"Find the vector product (cross product) of P=3i-4j+2k and Q=2i+5j-k.","-6i+7j+23k","6i-7j-23k","-6i-7j-23k","-6i+7j+23k","None of the above",0
83,"Find the magnitude of the vector v = 3i+4j-12k.","13","14","15","16","None of the above",0
84,"Given a=i-j+2k, b=2i+j+k, c=i+2j-k, find (a x b) x c.","-9i-9k","-9i+9k","9i-9k","9i+9k","None of the above",2
85,"Given a=2i+3k, b=5i-j+k, c=i+2j, evaluate (a-c)·(b-c).","i-j+2k","i-j+3k","-1","i-j+2k","None of the above",-1
86,"Given a=2i+3k, b=5i-j+k, c=i+2j, evaluate (a·c)b.","10i-2j-2k","-10i-2j+2k","10i-2j+2k","10i+2j+2k","None of the above",2
87,"Given a=2i+3k, b=5i-j+k, c=i+2j, evaluate (a·c)(b·c).","10","8","4","12","None of the above",-1
88,"Find the unit vector â of the vector a = 2i+5j-k.","(2i+5j-k)/√30","(2i-5j-k)/30","(2i-5j+k)/√30","(2i-5j)/√30","None of the above",0
89,"State the general equation of a parabola opening to the right.","y²=-4ax","y³=4ax","y²=4ax","y-4ax=0","None of the above",2
90,"State the general equation of a hyperbola.","x²/a² - y²/b² = 1","x²/a - y²/b = -1","x/a² - y/b² = 1","x²/a² - y²/b² = 0","None of the above",0
91,"Resolve (x²+2)/((2x+1)(x²+2x+3)) into partial fractions.","1/(2x+1) - 1/(x²+2x+3)","1/(2x+1) + 1/(x²+2x+3)","1/(2x+1) - 3/(x²+2x+3)","1/(2x+1) - 4/(x²+2x+3)","None of the above",-1
92,"Resolve (7x+2)/((2x-3)(x+1)²) into partial fractions.","2/(2x-3) - 1/(x+1) + 1/(x+1)²","2/(2x-3) + 1/(x+1) + 1/(x+1)²","2/(2x-3) + 1/(x+1) - 1/(x+1)²","2/(2x-3) - 1/(x+1) - 1/(x+1)²","None of the above",3
93,"Resolve (x³-x²-4)/(x²-1) into partial fractions.","x-1 - 3/(2(x+1)) - 1/(2(x-1))","x-1 + 3/(x+1) - 2/(x-1)","x-1 - 3/(x+1) - 2/(x-1)","x-1 - 3/(x+1) + 2/(x-1)","None of the above",-1
94,"Resolve (x²+4x-7)/((x+1)(x²+4)) into partial fractions.","(x-7)/(x²+4) - 2/(x+1)","(3x-1)/(x²+4) + 2/(x+1)","(x+1)/(x²+4) + 2/(x+1)","(3x+7)/(x²+4) - 1/(x+1)","None of the above",-1
95,"Resolve x²/((x+1)³) into partial fractions.","1/(x+1) - 2/(x+1)² + 1/(x+1)³","1/(x+1) + 1/(x+1)² + 1/(x+1)³","1/(x+1) - 2/(x+1)² - 1/(x+1)³","1/(x+1) + 2/(x+1)² - 1/(x+1)³","None of the above",0
96,"Resolve (4x+11)/(x²+4x-5) into partial fractions.","1/2 * (3/(x+5) + 5/(x-1))","1/2 * (3/(x-5) + 5/(x+1))","1/2 * (3/(x-5) + 5/(x-1))","1/2 * (3/(x+5) - 5/(x-1))","None of the above",3
97,"Determine n and r if ⁿPᵣ = 10!/4!.","n=10, r=4","n=10, r=6","n=6, r=4","n=10, r=10","None of the above",1
98,"How many 4-digit even numbers can be formed using 1, 6, 7, 8, 9 if repetition is not allowed?","80","120","60","48","None of the above",3
99,"A committee of three boys and 4 girls is to be formed from 5 boys and 6 girls. How many committees are possible?","150","60","25","360","None of the above",-1
100,"The set A={x | x is an integer, 2≤x<3} is","a singleton set","a set with two elements","an empty set","the universal set","None of the above",0
101,"If a set A has n elements, then its power set has:","2ⁿ subsets","2ⁿ⁻¹ subsets","2ⁿ⁺¹ subsets","2n subsets","None of the above",0
102,"If the set A={a,b,c}, then the power set of A has:","three elements","eight elements","seven elements","six elements","None of the above",1
103,"Which of the following is false?","0 is an integer","0 is a natural number","0 is a real number","0 is a rational number","None of the above",1
104,"List the elements of {x²+1 | x is an integer and 1<x<5}.","{2,5,10,17,26}","{5,10,17,26}","{2,5,10,17}","{5,10,17}","None of the above",3
105,"Let U={x|1≤x≤20}, P={x-1|10≤x≤18, x is even}, Q={x|2<x≤15, x is odd}. Find P∩Q'.","{17}","{10,12,14,16}","{17,18}","∅","None of the above",-1
106,"Let P={x-1|10≤x≤18, x is even}, Q={x|2<x≤15, x is odd}, R={x|1<x≤20, x is a multiple of 3}. Find P∩(Q∩R).","{3,9,15}","{9,15}","∅","{3,6,9,15}","None of the above",2
107,"Find B-A for A={3,1} and B={4,1,6,3}.","{3,1}","{4,6}","{4,1}","{4,3}","None of the above",1
108,"If A={1,2,3,4} and B={2,4}, then A∪B =","{2,4}","{1,2,2,3,4,4}","{1,2,3,4}","∅","None of the above",2
109,"Given U={a,b,c,d,e,f,g}, P={a,b,d,f}, and Q={a,c,d,g}. Find P'∪Q'.","{b,e,f}","{a,b,d,c}","{b,c,e,f,g}","{a,b,d,e,f}","None of the above",-1
110,"Given P={a,b,d,f}, Q={a,c,d}, and R={f,c,a,d}. Find P∪Q∪R.","{a,b,c,d,f}","{a,a,b,c,d}","{a,b,c,c,f}","{a,b,c,d,d}","None of the above",0
111,"If A={1,2,3,6,8} and C={4,5,6,8}, find AΔC.","{1,2,3,4,5,6}","{1,2,3,4,5}","{1,2,3,4,5,8}","∅","None of the above",1
112,"If A={1,2,3,6,8}, B={2,5,6,7,9}, and C={4,5,6,8}, find (AΔB)ΔC.","{1,3,7,9}","{4,6}","{1,3,4,6,7,9}","{1,3,4,7,9}","None of the above",-1
113,"If A={1,2,3,6,8}, B={2,5,6,7,9}, and C={4,5,6,8}, find A∩(BΔC).","{2,7,9}","{4,7,8}","{2,8}","{2,8}","None of the above",3
114,"If A={1,2,3,6,8}, B={2,5,6,7,9}, and C={4,5,6,8}, find C∪(AΔB).","{1,3,4,5,6,7,8,9}","{1,2,3,6,8,9}","{1,4,5,6,7,8,9}","{3,4,5,6,7,8,9}","None of the above",0
115,"If A and B are any two sets, then (A∩B)' =","A'∩B'","A'∪B'","A∪B'","A'∩B","None of the above",1
116,"If A and B are any two sets, then (A∪B)' =","A∪B'","A'∪B'","A'∩B'","A'∩B","None of the above",2
117,"If U is the universal set and A is any set, then AΔU =","A","U","∅","A'","None of the above",3
118,"For two sets A and B, n(A∪B) =","n(A)+n(B)−n(A∩B)","n(A)+n(B)−n(A∪B)","n(A)+n(B)+n(A∩B)","n(A)+n(B)+n(A∪B)","None of the above",0
119,"In a gathering of 200 students, 60% like Economics while 77% like History. How many like both (assuming all like at least one)?","74","74","40","23","None of the above",0
120,"In a class of 125 students, 4 belong to Music and Press only, 5 to Press and Drama only, 20 to Music and Drama. Press has 65 members. None are in Music only. Press only members = (All three)². 10 are in no club. How many belong to only Drama?","49","13","37","22","None of the above",1
