Level,Semester,Course Code,Course Title,Course Area,Department,Faculty
100 Level,Second Semester,FOL126,Intermediate Practical French Structure,Library and Information Science,Department of Educational Management,Faculty of Education
100 Level,Second Semester,GST121,Peace Studies and Conflict Resolution,Library and Information Science,Department of Educational Management,Faculty of Education
100 Level,Second Semester,GST122,Nigerian People and Culture,Library and Information Science,Department of Educational Management,Faculty of Education
100 Level,Second Semester,GST123,History and Philosophy of Science,Library and Information Science,Department of Educational Management,Faculty of Education
100 Level,Second Semester,CSC120,Use of Software Packages,Library and Information Science,Department of Educational Management,Faculty of Education
200 Level,First Semester,EDU212,Philosophy of Education,Library and Information Science,Department of Educational Management,Faculty of Education
200 Level,First Semester,LIS211,Introduction to Bibliography,Library and Information Science,Department of Educational Management,Faculty of Education
200 Level,First Semester,LIS212,Organization of Knowledge I,Library and Information Science,Department of Educational Management,Faculty of Education
200 Level,First Semester,LIS213,Library and Information Services to the Rural Community,Library and Information Science,Department of Educational Management,Faculty of Education
200 Level,First Semester,LIS214,Management of Library and Information Centres,Library and Information Science,Department of Educational Management,Faculty of Education
200 Level,First Semester,LIS215,"Libraries and Information Services to Children and Adolescents",Library and Information Science,Department of Educational Management,Faculty of Education
200 Level,First Semester,LIS216,Serials Management,Library and Information Science,Department of Educational Management,Faculty of Education
200 Level,First Semester,LIS217,The Information User,Library and Information Science,Department of Educational Management,Faculty of Education
200 Level,First Semester,PSY211,Psychology,Library and Information Science,Department of Educational Management,Faculty of Education
200 Level,Second Semester,LIS220,Computers and Data Processing,Library and Information Science,Department of Educational Management,Faculty of Education
200 Level,Second Semester,LIS221,Introduction to Communication Technology in LIS,Library and Information Science,Department of Educational Management,Faculty of Education
200 Level,Second Semester,LIS222,Audio visual (AV) resources,Library and Information Science,Department of Educational Management,Faculty of Education
200 Level,Second Semester,LIS223,Oral Tradition and Cultural Literature,Library and Information Science,Department of Educational Management,Faculty of Education
200 Level,Second Semester,LIS224,Computer-Based Library Systems,Library and Information Science,Department of Educational Management,Faculty of Education
200 Level,Second Semester,LIS225,Communication and Writing Skills,Library and Information Science,Department of Educational Management,Faculty of Education
200 Level,Second Semester,LIS226,Indigenous Knowledge System,Library and Information Science,Department of Educational Management,Faculty of Education
200 Level,Second Semester,LIS227,Software Packages,Library and Information Science,Department of Educational Management,Faculty of Education
200 Level,Second Semester,LIS228,Information Literacy,Library and Information Science,Department of Educational Management,Faculty of Education
300 Level,First Semester,LIS311,Organization of Knowledge II,Library and Information Science,Department of Educational Management,Faculty of Education
300 Level,First Semester,LIS312,"Collection Development and Management",Library and Information Science,Department of Educational Management,Faculty of Education
300 Level,First Semester,LIS313,Reference and Information Services in LIS,Library and Information Science,Department of Educational Management,Faculty of Education
300 Level,First Semester,LIS314,"Technical Services in Library & Information Centres",Library and Information Science,Department of Educational Management,Faculty of Education
300 Level,First Semester,LIS315,Library Environment and Buildings,Library and Information Science,Department of Educational Management,Faculty of Education
300 Level,First Semester,LIS316,"National & Public Libraries and information Centres",Library and Information Science,Department of Educational Management,Faculty of Education
300 Level,First Semester,LIS317,School Library and Media Resources Centres,Library and Information Science,Department of Educational Management,Faculty of Education
300 Level,First Semester,LIS318,"Academic and Special Library and information Centres",Library and Information Science,Department of Educational Management,Faculty of Education
300 Level,First Semester,LIS319,"Planning and Repackaging of Info. Products & Services",Library and Information Science,Department of Educational Management,Faculty of Education
300 Level,Second Semester,LIS321,Preservation and Conservation of Library Materials,Library and Information Science,Department of Educational Management,Faculty of Education
300 Level,Second Semester,LIS322,Digital Library,Library and Information Science,Department of Educational Management,Faculty of Education
300 Level,Second Semester,LIS323,"Research and Statistical Methods",Library and Information Science,Department of Educational Management,Faculty of Education
300 Level,Second Semester,LIS324,"Information Management and Marketing",Library and Information Science,Department of Educational Management,Faculty of Education
300 Level,Second Semester,LIS325,"Community Needs Analysis & Information Service",Library and Information Science,Department of Educational Management,Faculty of Education
300 Level,Second Semester,LIS326,SIWES (Field Experience),Library and Information Science,Department of Educational Management,Faculty of Education
300 Level,Second Semester,LIS327,Knowledge Management,Library and Information Science,Department of Educational Management,Faculty of Education
300 Level,Second Semester,CED300,Entrepreneurship,Library and Information Science,Department of Educational Management,Faculty of Education
400 Level,First Semester,LIS411,Research Project,Library and Information Science,Department of Educational Management,Faculty of Education
400 Level,First Semester,LIS412,Information Ethics and Law,Library and Information Science,Department of Educational Management,Faculty of Education
400 Level,First Semester,LIS413,Indexing and Abstracting,Library and Information Science,Department of Educational Management,Faculty of Education
400 Level,First Semester,LIS414,"Automation in Library and Information Centres",Library and Information Science,Department of Educational Management,Faculty of Education
400 Level,First Semester,LIS415,"Government Publications",Library and Information Science,Department of Educational Management,Faculty of Education
400 Level,First Semester,LIS416,"Archives and Records Management",Library and Information Science,Department of Educational Management,Faculty of Education
400 Level,First Semester,LIS417,"Publishing and Book Trade/Information Network",Library and Information Science,Department of Educational Management,Faculty of Education
400 Level,First Semester,LIS418,"Bibliography and literature of the Social Sciences and Humanities",Library and Information Science,Department of Educational Management,Faculty of Education
400 Level,First Semester,LIS419,Infopreneurship,Library and Information Science,Department of Educational Management,Faculty of Education
400 Level,Second Semester,EDU421,Guidance and Counseling,Library and Information Science,Department of Educational Management,Faculty of Education
400 Level,Second Semester,LIS421,Bibliography and Literature of Humanities,Library and Information Science,Department of Educational Management,Faculty of Education
400 Level,Second Semester,LIS422,"Bibliography and Literature of Science & Tech.",Library and Information Science,Department of Educational Management,Faculty of Education
400 Level,Second Semester,LIS423,"Publishing, Book Production and Trade",Library and Information Science,Department of Educational Management,Faculty of Education
400 Level,Second Semester,LIS424,African Bibliography,Library and Information Science,Department of Educational Management,Faculty of Education
400 Level,Second Semester,LIS425,"Editing technical writing & journal",Library and Information Science,Department of Educational Management,Faculty of Education
400 Level,Second Semester,LIS426,Current Issues in ICT Practices in LIS (Seminar),Library and Information Science,Department of Educational Management,Faculty of Education
400 Level,Second Semester,LIS427,ICT in Libraries and Information Centres,Library and Information Science,Department of Educational Management,Faculty of Education
100 Level,First Semester,EDU 111,History of Education,Education Biology,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,GST 111,Communication in English,Education Biology,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,GST 112,Nigeria People and Culture,Education Biology,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,CIT 111,"History, Philosophy and Ethics of Integrated Science",Education Biology,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,BIO 101,General Biology I,Education Biology,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,BIO 102,General Biology II,Education Biology,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,CSC 101,Introduction to Computer Science,Education Biology,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,CHM 101,General Chemistry I (Inorganic),Education Biology,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,MTH 101,General Mathematics I,Education Biology,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,PHY 101,General Physics I,Education Biology,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,EDU 101,"Introduction to Teaching and Foundations of Education",Education Biology,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,BIO 107,General Biology Practical I,Education Biology,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,BIO 108,General Biology Practical II,Education Biology,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,CHM 102,General Chemistry II (Organic),Education Biology,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,MTH 102,General Mathematics II,Education Biology,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,PHY 102,General Physics II,Education Biology,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,EDU 211,Educational Psychology,Education Biology,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,EDU 212,Sociology of Education,Education Biology,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,EDU 201,Curriculum and Curriculum Delivery,Education Biology,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,GST 212,Philosophy Logic and Human Existence,Education Biology,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,GST 222,Peace and Conflict Resolution,Education Biology,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,CIT 211,Instructional Materials for Teaching Biology,Education Biology,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,ENT 211,Entrepreneurship and Innovations,Education Biology,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,BIO 201,Genetics I,Education Biology,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,BIO 202,Introductory Ecology,Education Biology,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,BIO 203,General Physiology,Education Biology,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,SED 202,General Biology Methods I,Education Biology,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,EDU 221,Teaching Method I,Education Biology,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,EDU 222,Philosophy of Education,Education Biology,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,EDU 223,"Instructional Technology and Computer Education",Education Biology,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,CIT 223,Micro Teaching in Biology Education,Education Biology,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,BIO 204,Biological Techniques,Education Biology,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,BIO 205,Introductory Developmental/Cell Biology,Education Biology,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,BIO 206,Hydrobiology,Education Biology,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,BIO 208,Biostatistics,Education Biology,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,EDU 301,Teaching Practice I,Education Biology,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,EDU 312,Teaching Methods II,Education Biology,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,CIT 311,Research Methods in Biology Education,Education Biology,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,CIT 313,Integrated curriculum in Science,Education Biology,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,BIO 301,Genetics II,Education Biology,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,BIO 302,Population Biology and Evolution,Education Biology,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,BIO 303,Biogeography and Soil Biology,Education Biology,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,ENT 312,Venture Creation,Education Biology,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,EDU 321,Research Methods and Statistics,Education Biology,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,EDU 322,Guidance and Counselling,Education Biology,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,SED 302,General Biology Methods II,Education Biology,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,BIO 304,Nigerian Flora and Fauna,Education Biology,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,BIO 306,Systematic Biology,Education Biology,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,BIO 307,Field Course,Education Biology,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,EDU 401,Supervised Teaching Practice II,Education Biology,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,EDU 411,Educational Measurement and Evaluation,Education Biology,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,EDU 412,Introduction to Educational Management,Education Biology,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,CIT 412,Pedagogic Techniques for Teaching Biology,Education Biology,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,SED 402,"Science, Technology and Society",Education Biology,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,BIO 402,Principles of Plant and Animal Breeding,Education Biology,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,BIO 403,Wildlife Conservation and Management,Education Biology,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,BIO 404,"Nigerian Plants and Animals in Prophylactics & Therapeutics",Education Biology,Curriculum and Instruction Technology,Faculty of Education
400 Level,First Semester,BIO 406,Principles of Pest Management,Education Biology,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,EDU 400,Project,Education Biology,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,CIT 421,Biology Laboratory and Management,Education Biology,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,CIT 422,Myths and Misconceptions in Science,Education Biology,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,BIO 407,Field Course II,Education Biology,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,BIO 408,Applied Biotechnology,Education Biology,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,BIO 410,Bio-Entrepreneurship Options,Education Biology,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,BIO 413,Bioinformatics,Education Biology,Curriculum and Instruction Technology,Faculty of Education
400 Level,Second Semester,BIO 414,Molecular Biology,Education Biology,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,EDU 111,History of Education,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,GST 111,Communication in English,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,GST 112,Nigeria People and Culture,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,CIT 111,"History, Philosophy and Ethics of Integrated Science",Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,COS 101,Introduction to Computer Science,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,BIO 101,General Biology I,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,CHM 101,General Chemistry I,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,CHM 102,General Chemistry II,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,MTH 101,General Mathematics I,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,PHY 101,General Physics I,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,EDU 101,"Introduction to Teaching and Foundations of Education",Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,BIO 107,General Biology Practical I,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,BIO 108,General Biology Practical II,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,CHM 107,General Chemistry Practical I,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,CHM 108,General Chemistry Practical II,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,MTH 102,General Mathematics II,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,PHY 107,General Physics Practical I,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,EDU 211,Educational Psychology,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,EDU 212,Sociology of Education,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,EDU 201,Curriculum and Curriculum Delivery,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,GST 212,Philosophy Logic and Human Existence,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,GST 312,Peace and Conflict,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,CIT 211,Instructional Materials for Chemistry Teaching,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,ENT 211,Entrepreneurship and Innovation,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,CHM 207,General Chemistry Practical III,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,CHM 208,General Chemistry Practical IV,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,CHM 210,Physical Chemistry I,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,CHM 211,Organic Chemistry I,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,SED 202,Chemistry Methods I,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,EDU 221,Teaching Method I,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,EDU 222,Philosophy of Education,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,EDU 223,"Instructional Technology and Computer Education",Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,CIT 222,Micro Teaching in Chemistry Education,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,STA 202,"Statistics for Physical Sciences & Engineering",Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,CHM 212,Inorganic Chemistry I,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,CHM 213,Analytical Chemistry I,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,Second Semester,CHM 214,Structure and Bonding,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,EDU 301,Teaching Practice I,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,EDU 312,Teaching Methods II,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,ENT 312,Venture Creation,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,CIT 313,Integrated Curriculum (Science),Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,CIT 311,Research Methods in Chemistry Education,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,CHM 301,Physical Chemistry II,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,CHM 302,Inorganic Chemistry II,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,CHM 303,Organic Chemistry II,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,First Semester,CHM 304,"Atomic & Molecular Structure & Symmetry",Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
300 Level,Second Semester,EDU 321,Research Methods and Statistics,Chemistry Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,EDU111,History of Education,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
100 Level,First Semester,GST111,Communication in English,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
100 Level,First Semester,GST112,Nigerian People and Culture,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
100 Level,First Semester,COS101,Introduction to Computing Sciences,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
100 Level,First Semester,CSC110,Introduction to Computing,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
100 Level,First Semester,MTH101,General Mathematics I,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
100 Level,First Semester,MTH112,General Mathematics II (Calculus),"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
100 Level,First Semester,PHY101,General Physics I (Mechanics),"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
100 Level,First Semester,PHY107,General Physics Practical I,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
100 Level,First Semester,SED 101,Introduction to Computer and Computer Education,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
100 Level,Second Semester,EDU101,"Introduction to Teaching and Foundations of Education","Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
100 Level,Second Semester,GST121,Use of English II,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
100 Level,Second Semester,COS102,Problem Solving,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
100 Level,Second Semester,CSC112,"Computer Appreciation and Packages","Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
100 Level,Second Semester,PHY102,General Physics II,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
100 Level,Second Semester,PHY108,General Physics Practical II,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,EDU211,Education Psychology,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,EDU212,Sociology of Education,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,EDU 201,"Curriculum and Curriculum Delivery","Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,GST212,"Philosophy, Logic and Human Existence","Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,GST312,Peace Studies & Conflict Resolution,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,CSC201,Computing Programming I,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,CSC203,Discrete Structures,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,IFT211,Digital Logic Design,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,MTH 201,Mathematics Methods I,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,SEN201,Introduction to Software Engineering,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,CSC299,SIWES I,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,CSC211,Computing Practice and Ethics,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
200 Level,First Semester,ENT211,"Entrepreneurship and Innovation","Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
200 Level,Second Semester,EDU 221,Teaching Methods I,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
200 Level,Second Semester,EDU 222,Philosophy of Education,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
200 Level,Second Semester,EDU 223,"Instructional Technology & Computer Education","Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
200 Level,Second Semester,CSC202,Computing Programming II,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
200 Level,Second Semester,IFT 212,"Computer Architecture and Organization","Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
200 Level,Second Semester,MTH 202,Mathematics Methods II,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
300 Level,First Semester,EDU 301,Teaching Practice I,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
300 Level,First Semester,EDU 312,Teaching Methods II,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
300 Level,First Semester,ENT 312,Venture Creation,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
300 Level,First Semester,CSC 301,Data Structures,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
300 Level,First Semester,CSC 308,Operating Systems,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
300 Level,First Semester,CSC 313,Data Science and Analytics,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
300 Level,Second Semester,EDU 321,"Educational Research and Statistics","Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
300 Level,Second Semester,EDU 323,Guidance and Counselling,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
300 Level,Second Semester,CSC309,Artificial Intelligence,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
300 Level,Second Semester,CSC 322,"Computer Science Innovation and New Technologies","Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
300 Level,Second Semester,CYB 311,"Introduction to Cyber Security and Strategy","Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
300 Level,Second Semester,DTS304,Database Management System,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
300 Level,Second Semester,ICT 305,"Data Communication system & Network","Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
300 Level,Second Semester,CSC 399,SIWES II,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
400 Level,First Semester,EDU401,Teaching Practice II,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
400 Level,First Semester,EDU411,Introduction to Educational Measurement and Evaluation,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
400 Level,First Semester,EDU 412,Educational Management,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
400 Level,First Semester,CSC401,Algorithms and Complexity Analysis,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
400 Level,First Semester,CSC403,Project Management,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
400 Level,First Semester,CSC411,Assembly Language and System,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
400 Level,First Semester,CSC413,Software Testing,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
400 Level,First Semester,COS409,Research Methodology,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
400 Level,First Semester,CSC415,Technical Report Writing,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
400 Level,First Semester,IFT402,"Computer studies Laboratory Practicals","Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
400 Level,Second Semester,EDU400,Research Project,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
400 Level,Second Semester,EDU421,Ethics and Legal Issues in Computer Science,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
400 Level,Second Semester,CSC402,"Compiler, Technology and Design","Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
400 Level,Second Semester,CSC422,Computer Vision,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
4agencies00 Level,Second Semester,CSC424,Natural Language Processing,"Education and Computer Science","Curriculum and Instruction Technology","Faculty of Education"
100 Level,First Semester,EDU 111,History of Education,Physics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,GST 111,Communication in English,Physics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,GST 112,Nigeria People and Culture,Physics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,CIT 111,"History, Philosophy and Ethics of Integrated Science",Physics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,CSC 101,Introduction to Computer Science,Physics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,MTH 101,Elementary Mathematics I,Physics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,PHY 101,General Physics I,Physics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,PHY 102,General Physics II,Physics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,First Semester,PHY 103,General Physics III,Physics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,EDU 101,"Introduction to Teaching and Foundations of Education",Physics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,MTH 102,Elementary Mathematics II (Calculus),Physics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,PHY 104,General Physics IV,Physics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,PHY 107,General Physics Practical I,Physics Education,Curriculum and Instruction Technology,Faculty of Education
100 Level,Second Semester,PHY 108,General Physics Practical II,Physics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,EDU 211,Educational Psychology,Physics Education,Curriculum and Instruction Technology,Faculty of Education
200 Level,First Semester,EDU 212,Sociology of Education,Physics Education,Curriculum and Instruction Technology,Faculty of Education
